problem_id,problem_text,answer,hint,translation
2374,"Найдите значение выражения $\dfrac{17}{5} :\dfrac{34}{3} +1,3$.",1.6,Десятичную в обыкновенную,Find the value of the expression $\dfrac{17}{5} :\dfrac{34}{3} +1.3$.
4723,"В компании из 30 человек 25 пользуются социальной сетью «Одноклассники», а 10~--- социальной сетью «ВКонтакте». Выберите утверждения, которые верны при указанных условиях.

\begin{center}
\begin{tabularx}{\textwidth}{p{0.1cm}X}  
1) & В этой компании найдётся 10 человек, которые не пользуются ни сетью «Одноклассники», ни сетью «ВКонтакте». \\ 
2) & В этой компании найдётся хотя бы 5 человек, пользующихся обеими сетями. \\ 
3) & Не найдётся ни одного человека из этой компании, пользующегося только сетью «Одноклассники». \\ 
4) & Не более 10 человек из этой компании пользуются обеими сетями. \\ 
\end{tabularx}\end{center}

В ответе запишите номера выбранных утверждений без пробелов, запятых и~других дополнительных символов.",24,Диаграмма Венна,"In a company of 30 people, 25 use the social network ""Odnoklassniki"", and 10 use the social network ""VKontakte"". Select the statements that are true under the given conditions.

1) In this company, there will be 10 people who do not use either the ""Odnoklassniki"" network or the ""VKontakte"" network.
2) In this company, there will be at least 5 people who use both networks.
3) There will not be a single person from this company who uses only the ""Odnoklassniki"" network.
4) No more than 10 people from this company use both networks.

In your answer, write down the numbers of the selected statements without spaces, commas, and other additional symbols."
7135,"Число дорожно-транспортных происшествий (ДТП) в летний период составило 0,68 числа ДТП в зимний период. На сколько процентов уменьшилось число дорожно-транспортных происшествий летом по сравнению с зимой?",32,дробь в проценты,The number of road traffic accidents (RTAs) in the summer period was 68% of the number of RTAs in the winter period. By what percentage did the number of road traffic accidents decrease in the summer compared to the winter?
5814,Найдите значение выражения $\dfrac{2\strut^{-5} \cdot 2\strut^{9} }{2\strut^{-4} } $.,256,свойства степени,Find the value of the expression $\dfrac{2^{-5} \cdot 2^{9} }{2^{-4} } $.
9237,"Путешественник из Москвы хочет посетить четыре города Золотого кольца России: Владимир, Ярославль, Суздаль и Ростов. Турагентство предлагает маршруты с посещением некоторых городов Золотого кольца. Сведения о стоимости билетов и маршрутах представлены в таблице.

\begin{center}
\begin{tabular}{|c|c|c|c|}
\hline
Номер маршрута&Посещаемые города&Стоимость (руб.)\\\hline
1&Суздаль, Ярославль, Владимир&3900 \\\hline
2&Ростов, Владимир&2400 \\\hline
3&Ярославль, Владимир&2100 \\\hline
4&Суздаль&1650 \\\hline
5&Ростов, Суздаль&2700 \\\hline
6&Ярославль, Ростов&2350 \\\hline
\end{tabular}
\end{center}

Какие маршруты должен выбрать путешественник, чтобы побывать во всех четырёх городах и затратить менее 5000 рублей?

В ответе укажите какой-нибудь один набор номеров маршрутов без пробелов, запятых и других дополнительных символов.",53,перебор,"A traveler from Moscow wants to visit four cities of the Golden Ring of Russia: Vladimir, Yaroslavl, Suzdal, and Rostov. The travel agency offers routes that include visits to some of the Golden Ring cities. Information about the cost of tickets and the routes is presented in the table below.

\begin{center}
\begin{tabular}{|c|c|c|c|}
\hline
Route Number&Visited Cities&Cost (rubles)\\\hline
1&Suzdal, Yaroslavl, Vladimir&3900 \\\hline
2&Rostov, Vladimir&2400 \\\hline
3&Yaroslavl, Vladimir&2100 \\\hline
4&Suzdal&1650 \\\hline
5&Rostov, Suzdal&2700 \\\hline
6&Yaroslavl, Rostov&2350 \\\hline
\end{tabular}
\end{center}

Which routes should the traveler choose to visit all four cities and spend less than 5000 rubles?

In your answer, indicate any one set of route numbers without spaces, commas, or other additional symbols."
10703,"В конце четверти Вовочка выписал подряд все свои отметки по одному из предметов, их оказалось 5, и поставил 
между некоторыми из них знаки умножения. Произведение получившихся чисел оказалось равным 5575. Какая отметка выходит у Вовочки в четверти по этому предмету, если учитель ставит только отметки «2», «3», «4» или «5» и итоговая отметка в четверти является средним арифметическим всех текущих отметок, округлённая по правилам округления? (Например, 3,2 округляется до 3; 4,5~--- до 5; а 2,8~--- до 3.)",3,разложитьна простые множители,"At the end of the term, Vovochka wrote down all his grades for one of the subjects in a row; there were 5 of them, and he put multiplication signs between some of them. The product of the resulting numbers turned out to be 5575. What grade does Vovochka get for the term in this subject if the teacher only gives grades of ""2,"" ""3,"" ""4,"" or ""5"" and the final grade for the term is the arithmetic mean of all current grades, rounded according to rounding rules? (For example, 3.2 is rounded to 3; 4.5 is rounded to 5; and 2.8 is rounded to 3.)"
9621,"Найдите четырёхзначное число, которое в 11 раз меньше куба некоторого натурального числа. В ответе укажите какое-нибудь одно такое число.","[3267, 7744]",куб числа делится на 11,"Find a four-digit number that is 11 times smaller than the cube of some natural number. In your answer, indicate any one such number."
4318,Найдите значение выражения $\dfrac{\sqrt{8} }{\sqrt{2} } $.,2,внести под общий корень,Find the value of the expression $\dfrac{\sqrt{8}}{\sqrt{2}}$.
7549,"Среднее гармоническое трёх чисел $a$, $b$ и $c$ вычисляется по формуле $h=\left(\dfrac{\dfrac{1}{a} +\dfrac{1}{b} +\dfrac{1}{c} }{3} \right)^{-1}$. Найдите среднее гармоническое чисел $\dfrac{1}{9} $, $\dfrac{1}{10}$ и $\dfrac{1}{11}$.",0.1,обратить дроби,"The harmonic mean of three numbers $a$, $b$, and $c$ is calculated using the formula $h=\left(\dfrac{\dfrac{1}{a} +\dfrac{1}{b} +\dfrac{1}{c} }{3} \right)^{-1}$. Find the harmonic mean of the numbers $\dfrac{1}{9}$, $\dfrac{1}{10}$, and $\dfrac{1}{11}$."
4405,"Найдите $\tg x$, если $\sin x=\dfrac{6}{\sqrt{61} } $ и $0{}^\circ <x<90{}^\circ $.",1.2,теорема пифагора или основное триг тождество,"Find $\tan x$, if $\sin x = \frac{6}{\sqrt{61}}$ and $0^\circ < x < 90^\circ$."
